"","chr","coordinate","strand"
"4966","chr3L",7320534,"+"
"4967","chr3L",7326214,"+"
"4968","chr3L",7409261,"-"
"4969","chr3L",7410144,"-"
"4970","chr3L",7411682,"+"
"4971","chr3L",7426771,"+"
"4972","chr3L",7429373,"-"
"4973","chr3L",7455085,"-"
"4974","chr3L",7456242,"-"
"4975","chr3L",7459569,"-"
"4976","chr3L",7460471,"+"
"4977","chr3L",7494610,"-"
"4978","chr3L",7499711,"+"
"4979","chr3L",7509263,"+"
"4980","chr3L",7537849,"-"
"4981","chr3L",7539804,"+"
"4982","chr3L",7564735,"+"
"4983","chr3L",7570024,"-"
"4984","chr3L",7578208,"-"
"4985","chr3L",7589084,"-"
"4986","chr3L",7601297,"+"
"4987","chr3L",7613830,"+"
"4988","chr3L",7631833,"+"
"4989","chr3L",7636102,"+"
"4990","chr3L",7638467,"+"
"4991","chr3L",7693733,"+"
"4992","chr3L",7721220,"+"
"4993","chr3L",7727581,"-"
"4994","chr3L",7746178,"-"
"4995","chr3L",7749594,"+"
"4996","chr3L",7767470,"-"
"4997","chr3L",7773309,"+"
"4998","chr3L",7778715,"+"
"4999","chr3L",7788895,"-"
"5000","chr3L",7815261,"-"
"5001","chr3L",7816020,"-"
"5002","chr3L",7835808,"+"
"5003","chr3L",7843703,"+"
"5004","chr3L",7856053,"-"
"5005","chr3L",7863554,"-"
"5006","chr3L",7864359,"+"
"5007","chr3L",7894643,"-"
"5008","chr3L",7904585,"-"
"5009","chr3L",7904834,"+"
"5010","chr3L",7917156,"-"
"5011","chr3L",7917229,"-"
"5012","chr3L",7924376,"+"
"5013","chr3L",7933979,"+"
"5014","chr3L",7940309,"+"
"5015","chr3L",7954275,"-"
"5016","chr3L",7955938,"-"
"5017","chr3L",7981931,"+"
"5018","chr3L",7982029,"+"
"5019","chr3L",7982115,"+"
"5020","chr3L",7996720,"-"
"5021","chr3L",7998367,"-"
"5022","chr3L",8000340,"-"
"5023","chr3L",8003496,"+"
"5024","chr3L",8004173,"-"
"5025","chr3L",8009562,"-"
"5026","chr3L",8010826,"+"
"5027","chr3L",8023079,"+"
"5028","chr3L",8042842,"-"
"5029","chr3L",8048405,"+"
"5030","chr3L",8049923,"+"
"5031","chr3L",8068951,"-"
"5032","chr3L",8069755,"-"
"5033","chr3L",8078071,"+"
"5034","chr3L",8078681,"-"
"5035","chr3L",8086397,"-"
"5036","chr3L",8091564,"+"
"5037","chr3L",8123625,"+"
"5038","chr3L",8134907,"-"
"5039","chr3L",8136069,"-"
"5040","chr3L",8148527,"+"
"5041","chr3L",8161341,"+"
"5042","chr3L",8195301,"-"
"5043","chr3L",8201384,"-"
"5044","chr3L",8211364,"-"
"5045","chr3L",8212941,"+"
"5046","chr3L",8242605,"-"
"5047","chr3L",8255670,"+"
"5048","chr3L",8262373,"+"
"5049","chr3L",8264322,"-"
"5050","chr3L",8269093,"-"
"5051","chr3L",8274146,"-"
"5052","chr3L",8283805,"+"
"5053","chr3L",8323658,"-"
"5054","chr3L",8334570,"-"
"5055","chr3L",8340788,"-"
"5056","chr3L",8361743,"-"
"5057","chr3L",8373755,"-"
"5058","chr3L",8406680,"-"
"5059","chr3L",8407808,"+"
"5060","chr3L",8409342,"-"
"5061","chr3L",8424385,"+"
"5062","chr3L",8427174,"-"
"5063","chr3L",8434588,"-"
"5064","chr3L",8442163,"+"
"5065","chr3L",8452954,"+"
"5066","chr3L",8455205,"+"
"5067","chr3L",8473584,"-"
"5068","chr3L",8492191,"+"
"5069","chr3L",8504210,"-"
"5070","chr3L",8522752,"-"
"5071","chr3L",8524269,"+"
"5072","chr3L",8524447,"-"
"5073","chr3L",8525484,"-"
"5074","chr3L",8528425,"-"
"5075","chr3L",8533555,"+"
"5076","chr3L",8535501,"+"
"5077","chr3L",8572272,"+"
"5078","chr3L",8594318,"+"
"5079","chr3L",8612676,"+"
"5080","chr3L",8651081,"-"
"5081","chr3L",8689202,"-"
"5082","chr3L",8710986,"+"
"5083","chr3L",8724602,"-"
"5084","chr3L",8745539,"-"
"5085","chr3L",8746769,"+"
"5086","chr3L",8762816,"+"
"5087","chr3L",8766889,"-"
"5088","chr3L",8768220,"-"
"5089","chr3L",8769953,"-"
"5090","chr3L",8797478,"-"
"5091","chr3L",8825582,"+"
"5092","chr3L",8833913,"-"
"5093","chr3L",8841328,"+"
"5094","chr3L",8856148,"+"
"5095","chr3L",8863186,"+"
"5096","chr3L",8871309,"-"
"5097","chr3L",8871310,"-"
"5098","chr3L",8897408,"-"
"5099","chr3L",8898506,"+"
"5100","chr3L",8899055,"+"
"5101","chr3L",8918939,"-"
"5102","chr3L",8945574,"+"
"5103","chr3L",8957060,"-"
"5104","chr3L",8963506,"+"
"5105","chr3L",8964522,"+"
"5106","chr3L",8978259,"+"
"5107","chr3L",9021961,"+"
"5108","chr3L",9024926,"+"
"5109","chr3L",9026888,"-"
"5110","chr3L",9029559,"+"
"5111","chr3L",9030081,"-"
"5112","chr3L",9035288,"-"
"5113","chr3L",9071918,"+"
"5114","chr3L",9124003,"-"
"5115","chr3L",9140636,"-"
"5116","chr3L",9150825,"-"
"5117","chr3L",9155372,"-"
"5118","chr3L",9161884,"+"
"5119","chr3L",9201620,"-"
"5120","chr3L",9208775,"-"
"5121","chr3L",9228678,"-"
"5122","chr3L",9230883,"+"
"5123","chr3L",9231775,"+"
"5124","chr3L",9242289,"-"
"5125","chr3L",9295807,"-"
"5126","chr3L",9302263,"-"
"5127","chr3L",9310783,"+"
"5128","chr3L",9310866,"-"
"5129","chr3L",9335024,"+"
"5130","chr3L",9342507,"+"
"5131","chr3L",9343061,"+"
"5132","chr3L",9356459,"+"
"5133","chr3L",9383433,"+"
"5134","chr3L",9439397,"+"
"5135","chr3L",9449425,"-"
"5136","chr3L",9468400,"+"
"5137","chr3L",9477605,"-"
"5138","chr3L",9489465,"-"
"5139","chr3L",9496624,"+"
"5140","chr3L",9500768,"+"
"5141","chr3L",9504841,"-"
"5142","chr3L",9509843,"-"
"5143","chr3L",9514021,"+"
"5144","chr3L",9525252,"-"
"5145","chr3L",9538729,"+"
"5146","chr3L",9561092,"+"
"5147","chr3L",9565179,"-"
"5148","chr3L",9583740,"-"
"5149","chr3L",9591423,"-"
"5150","chr3L",9593727,"+"
"5151","chr3L",9606137,"-"
"5152","chr3L",9613804,"+"
"5153","chr3L",9637306,"-"
"5154","chr3L",9643074,"-"
"5155","chr3L",9661004,"+"
"5156","chr3L",9674802,"-"
"5157","chr3L",9678524,"+"
"5158","chr3L",9705381,"+"
"5159","chr3L",9731978,"-"
"5160","chr3L",9743511,"-"
"5161","chr3L",9762751,"-"
"5162","chr3L",9765333,"+"
"5163","chr3L",9786101,"+"
"5164","chr3L",9799649,"+"
"5165","chr3L",9806681,"+"
"5166","chr3L",9809329,"-"
"5167","chr3L",9814590,"+"
"5168","chr3L",9820006,"-"
"5169","chr3L",9823718,"-"
"5170","chr3L",9845091,"-"
"5171","chr3L",9847791,"+"
"5172","chr3L",9853076,"+"
"5173","chr3L",9859401,"+"
"5174","chr3L",9874087,"-"
"5175","chr3L",9880084,"-"
"5176","chr3L",9889134,"+"
"5177","chr3L",9897596,"-"
"5178","chr3L",9897991,"-"
"5179","chr3L",9916698,"+"
"5180","chr3L",9917414,"+"
"5181","chr3L",9917470,"-"
"5182","chr3L",9927857,"-"
"5183","chr3L",9934513,"+"
"5184","chr3L",9935342,"+"
"5185","chr3L",9940364,"+"
"5186","chr3L",9960955,"-"
"5187","chr3L",9979484,"+"
"5188","chr3L",10013186,"+"
"5189","chr3L",10021099,"+"
"5190","chr3L",10051571,"+"
"5191","chr3L",10065404,"-"
"5192","chr3L",10066220,"-"
"5193","chr3L",10088175,"-"
"5194","chr3L",10093737,"+"
"5195","chr3L",10101215,"-"
"5196","chr3L",10116319,"-"
"5197","chr3L",10126957,"+"
"5198","chr3L",10138206,"-"
"5199","chr3L",10145118,"-"
"5200","chr3L",10150799,"-"
"5201","chr3L",10155244,"-"
"5202","chr3L",10170583,"-"
"5203","chr3L",10173278,"-"
"5204","chr3L",10177385,"+"
"5205","chr3L",10180091,"-"
"5206","chr3L",10203021,"+"
"5207","chr3L",10207100,"+"
"5208","chr3L",10222517,"-"
"5209","chr3L",10228332,"+"
"5210","chr3L",10235792,"+"
"5211","chr3L",10252987,"+"
"5212","chr3L",10265327,"-"
"5213","chr3L",10286165,"-"
"5214","chr3L",10301118,"+"
"5215","chr3L",10317110,"-"
"5216","chr3L",10329986,"-"
"5217","chr3L",10335010,"-"
"5218","chr3L",10335020,"-"
"5219","chr3L",10344159,"+"
"5220","chr3L",10353939,"-"
"5221","chr3L",10360672,"-"
"5222","chr3L",10373501,"-"
"5223","chr3L",10385213,"-"
"5224","chr3L",10386245,"-"
"5225","chr3L",10391010,"+"
"5226","chr3L",10398641,"+"
"5227","chr3L",10424593,"+"
"5228","chr3L",10429893,"+"
"5229","chr3L",10453852,"-"
"5230","chr3L",10466390,"+"
"5231","chr3L",10481275,"+"
"5232","chr3L",10513522,"-"
"5233","chr3L",10524268,"-"
"5234","chr3L",10525894,"+"
"5235","chr3L",10528151,"-"
"5236","chr3L",10529292,"+"
"5237","chr3L",10529355,"+"
"5238","chr3L",10532862,"-"
"5239","chr3L",10533830,"+"
"5240","chr3L",10538341,"+"
"5241","chr3L",10554077,"+"
"5242","chr3L",10558616,"-"
"5243","chr3L",10561606,"-"
"5244","chr3L",10567018,"+"
"5245","chr3L",10574940,"-"
"5246","chr3L",10578849,"+"
"5247","chr3L",10584536,"+"
"5248","chr3L",10630564,"+"
"5249","chr3L",10650529,"+"
"5250","chr3L",10675395,"+"
"5251","chr3L",10675821,"+"
"5252","chr3L",10688907,"-"
"5253","chr3L",10690716,"+"
"5254","chr3L",10695309,"-"
"5255","chr3L",10719322,"+"
"5256","chr3L",10720799,"-"
"5257","chr3L",10725499,"-"
"5258","chr3L",10754787,"-"
"5259","chr3L",10805336,"-"
"5260","chr3L",10814457,"+"
"5261","chr3L",10821602,"-"
"5262","chr3L",10831120,"-"
"5263","chr3L",10838333,"+"
"5264","chr3L",10869104,"+"
"5265","chr3L",10876900,"-"
"5266","chr3L",10901628,"+"
"5267","chr3L",10913721,"+"
"5268","chr3L",10928990,"-"
"5269","chr3L",10949517,"-"
"5270","chr3L",10951185,"+"
"5271","chr3L",10959237,"-"
"5272","chr3L",10965242,"-"
"5273","chr3L",10988162,"-"
"5274","chr3L",10995123,"+"
"5275","chr3L",11000114,"+"
"5276","chr3L",11006855,"-"
"5277","chr3L",11007492,"-"
"5278","chr3L",11025062,"+"
"5279","chr3L",11072248,"-"
"5280","chr3L",11095032,"-"
"5281","chr3L",11109848,"+"
"5282","chr3L",11134272,"-"
"5283","chr3L",11140594,"-"
"5284","chr3L",11170143,"-"
"5285","chr3L",11171438,"-"
"5286","chr3L",11210969,"+"
"5287","chr3L",11214352,"-"
"5288","chr3L",11216669,"+"
"5289","chr3L",11223174,"-"
"5290","chr3L",11229152,"+"
"5291","chr3L",11232229,"+"
"5292","chr3L",11253642,"-"
"5293","chr3L",11261345,"+"
"5294","chr3L",11283186,"+"
"5295","chr3L",11307384,"+"
"5296","chr3L",11316964,"+"
"5297","chr3L",11326487,"-"
"5298","chr3L",11339252,"+"
"5299","chr3L",11347216,"-"
"5300","chr3L",11349792,"+"
"5301","chr3L",11353382,"+"
"5302","chr3L",11356530,"-"
"5303","chr3L",11358505,"+"
"5304","chr3L",11374272,"+"
"5305","chr3L",11386190,"+"
"5306","chr3L",11387269,"-"
"5307","chr3L",11397860,"+"
"5308","chr3L",11438368,"-"
"5309","chr3L",11448586,"-"
"5310","chr3L",11484993,"+"
"5311","chr3L",11490205,"+"
"5312","chr3L",11550111,"+"
"5313","chr3L",11563549,"-"
"5314","chr3L",11569730,"+"
"5315","chr3L",11581530,"+"
"5316","chr3L",11587278,"-"
"5317","chr3L",11640102,"+"
"5318","chr3L",11641370,"-"
"5319","chr3L",11641472,"+"
"5320","chr3L",11654369,"-"
"5321","chr3L",11655802,"+"
"5322","chr3L",11664718,"+"
"5323","chr3L",11675510,"-"
"5324","chr3L",11678550,"-"
"5325","chr3L",11686324,"-"
"5326","chr3L",11691887,"-"
"5327","chr3L",11693536,"-"
"5328","chr3L",11696630,"-"
"5329","chr3L",11698083,"+"
"5330","chr3L",11702236,"-"
"5331","chr3L",11734258,"-"
"5332","chr3L",11746462,"+"
"5333","chr3L",11761652,"-"
"5334","chr3L",11762845,"+"
"5335","chr3L",11777111,"+"
"5336","chr3L",11786501,"-"
"5337","chr3L",11803589,"-"
"5338","chr3L",11812191,"+"
"5339","chr3L",11814064,"-"
"5340","chr3L",11815613,"+"
"5341","chr3L",11820985,"-"
"5342","chr3L",11836345,"-"
"5343","chr3L",11836612,"-"
"5344","chr3L",11851633,"+"
"5345","chr3L",11856679,"+"
"5346","chr3L",11867371,"+"
"5347","chr3L",11881211,"-"
"5348","chr3L",11882108,"+"
"5349","chr3L",11884959,"+"
"5350","chr3L",11890679,"-"
"5351","chr3L",11936206,"+"
"5352","chr3L",11938547,"+"
"5353","chr3L",11981375,"-"
"5354","chr3L",11999036,"-"
"5355","chr3L",12019248,"+"
"5356","chr3L",12032358,"+"
"5357","chr3L",12044116,"+"
"5358","chr3L",12044780,"+"
"5359","chr3L",12047433,"+"
"5360","chr3L",12055336,"-"
"5361","chr3L",12056057,"-"
"5362","chr3L",12069941,"-"
"5363","chr3L",12072865,"+"
"5364","chr3L",12081730,"-"
"5365","chr3L",12083986,"-"
"5366","chr3L",12107920,"+"
"5367","chr3L",12181219,"-"
"5368","chr3L",12193110,"-"
"5369","chr3L",12205817,"-"
"5370","chr3L",12210475,"+"
"5371","chr3L",12212732,"-"
"5372","chr3L",12221325,"+"
"5373","chr3L",12238321,"-"
"5374","chr3L",12245228,"-"
"5375","chr3L",12253135,"-"
"5376","chr3L",12263257,"+"
"5377","chr3L",12270659,"-"
"5378","chr3L",12284239,"+"
"5379","chr3L",12331534,"-"
"5380","chr3L",12335040,"-"
"5381","chr3L",12347891,"-"
"5382","chr3L",12349927,"+"
"5383","chr3L",12358536,"+"
"5384","chr3L",12369938,"-"
"5385","chr3L",12370081,"-"
"5386","chr3L",12378422,"+"
"5387","chr3L",12398522,"-"
"5388","chr3L",12404514,"+"
"5389","chr3L",12428582,"-"
"5390","chr3L",12433139,"-"
"5391","chr3L",12442585,"-"
"5392","chr3L",12444561,"+"
"5393","chr3L",12452097,"+"
"5394","chr3L",12456777,"+"
"5395","chr3L",12482240,"-"
"5396","chr3L",12495233,"+"
"5397","chr3L",12502360,"+"
"5398","chr3L",12503930,"+"
"5399","chr3L",12542052,"-"
"5400","chr3L",12542957,"-"
"5401","chr3L",12554796,"+"
"5402","chr3L",12557206,"-"
"5403","chr3L",12560944,"+"
"5404","chr3L",12575163,"-"
"5405","chr3L",12585391,"+"
"5406","chr3L",12598206,"-"
"5407","chr3L",12598313,"+"
"5408","chr3L",12609024,"-"
"5409","chr3L",12627868,"-"
"5410","chr3L",12628057,"+"
"5411","chr3L",12629270,"-"
"5412","chr3L",12631515,"+"
"5413","chr3L",12632311,"+"
"5414","chr3L",12639738,"-"
"5415","chr3L",12643929,"-"
"5416","chr3L",12644093,"-"
"5417","chr3L",12661074,"+"
"5418","chr3L",12674471,"+"
"5419","chr3L",12680381,"+"
"5420","chr3L",12688208,"-"
"5421","chr3L",12689356,"-"
"5422","chr3L",12710175,"+"
"5423","chr3L",12711197,"-"
"5424","chr3L",12722823,"+"
"5425","chr3L",12724526,"+"
"5426","chr3L",12726029,"-"
"5427","chr3L",12736686,"-"
"5428","chr3L",12745234,"-"
"5429","chr3L",12749203,"-"
"5430","chr3L",12755951,"+"
"5431","chr3L",12759206,"+"
"5432","chr3L",12759801,"-"
"5433","chr3L",12765823,"+"
"5434","chr3L",12766676,"-"
"5435","chr3L",12774774,"+"
"5436","chr3L",12776814,"-"
"5437","chr3L",12791833,"+"
"5438","chr3L",12800536,"+"
"5439","chr3L",12833583,"-"
"5440","chr3L",12863400,"+"
"5441","chr3L",12878523,"-"
"5442","chr3L",12880876,"+"
"5443","chr3L",12881085,"+"
"5444","chr3L",12881968,"-"
"5445","chr3L",12881996,"+"
"5446","chr3L",12906880,"+"
"5447","chr3L",12909079,"-"
"5448","chr3L",12919411,"+"
"5449","chr3L",12930971,"+"
"5450","chr3L",12931489,"-"
"5451","chr3L",12935224,"-"
"5452","chr3L",12943548,"-"
"5453","chr3L",12947354,"+"
"5454","chr3L",12971323,"-"
"5455","chr3L",12977318,"+"
"5456","chr3L",12991521,"+"
"5457","chr3L",13055925,"+"
"5458","chr3L",13065133,"+"
"5459","chr3L",13068416,"+"
"5460","chr3L",13092256,"-"
"5461","chr3L",13093513,"-"
"5462","chr3L",13102814,"+"
"5463","chr3L",13114289,"-"
"5464","chr3L",13121553,"+"
"5465","chr3L",13126416,"-"
"5466","chr3L",13131157,"-"
"5467","chr3L",13155192,"+"
"5468","chr3L",13174801,"-"
"5469","chr3L",13185281,"-"
"5470","chr3L",13185750,"-"
"5471","chr3L",13186421,"-"
"5472","chr3L",13200673,"-"
"5473","chr3L",13204864,"+"
"5474","chr3L",13213323,"+"
"5475","chr3L",13223236,"-"
"5476","chr3L",13226446,"-"
"5477","chr3L",13239193,"-"
"5478","chr3L",13256831,"-"
"5479","chr3L",13264562,"-"
"5480","chr3L",13271448,"+"
"5481","chr3L",13290973,"+"
"5482","chr3L",13304952,"-"
"5483","chr3L",13325437,"-"
"5484","chr3L",13332874,"-"
"5485","chr3L",13338926,"-"
"5486","chr3L",13341330,"-"
"5487","chr3L",13372171,"+"
"5488","chr3L",13387287,"+"
"5489","chr3L",13432209,"+"
"5490","chr3L",13433779,"+"
"5491","chr3L",13434470,"-"
"5492","chr3L",13449743,"+"
"5493","chr3L",13459768,"-"
"5494","chr3L",13490561,"+"
"5495","chr3L",13515492,"-"
"5496","chr3L",13538352,"-"
"5497","chr3L",13541050,"-"
"5498","chr3L",13546591,"+"
"5499","chr3L",13546683,"+"
"5500","chr3L",13550572,"-"
"5501","chr3L",13560824,"-"
"5502","chr3L",13562598,"+"
"5503","chr3L",13573049,"-"
"5504","chr3L",13601750,"+"
"5505","chr3L",13612660,"+"
"5506","chr3L",13620974,"+"
"5507","chr3L",13625471,"-"
"5508","chr3L",13629593,"+"
"5509","chr3L",13640058,"+"
"5510","chr3L",13673538,"-"
"5511","chr3L",13676275,"+"
"5512","chr3L",13678740,"+"
"5513","chr3L",13679979,"-"
"5514","chr3L",13689503,"+"
"5515","chr3L",13715334,"+"
"5516","chr3L",13721106,"+"
"5517","chr3L",13729850,"+"
"5518","chr3L",13745089,"+"
"5519","chr3L",13759126,"-"
"5520","chr3L",13767942,"-"
"5521","chr3L",13779170,"+"
"5522","chr3L",13779192,"+"
"5523","chr3L",13791974,"-"
"5524","chr3L",13811317,"+"
"5525","chr3L",13811390,"+"
"5526","chr3L",13821206,"+"
"5527","chr3L",13835469,"-"
"5528","chr3L",13880622,"+"
"5529","chr3L",13899204,"+"
"5530","chr3L",13899310,"-"
"5531","chr3L",13909530,"+"
"5532","chr3L",13916366,"-"
"5533","chr3L",13930360,"+"
"5534","chr3L",13947979,"-"
"5535","chr3L",13949981,"-"
"5536","chr3L",13951875,"-"
"5537","chr3L",13975459,"-"
"5538","chr3L",13976324,"-"
"5539","chr3L",14011175,"-"
"5540","chr3L",14017077,"-"
"5541","chr3L",14017446,"+"
"5542","chr3L",14026056,"-"
"5543","chr3L",14033074,"-"
"5544","chr3L",14052557,"-"
"5545","chr3L",14066420,"-"
"5546","chr3L",14077235,"+"
"5547","chr3L",14081413,"-"
"5548","chr3L",14086000,"+"
"5549","chr3L",14104223,"+"
"5550","chr3L",14120829,"-"
"5551","chr3L",14123193,"+"
"5552","chr3L",14126772,"-"
"5553","chr3L",14172336,"+"
"5554","chr3L",14181642,"-"
"5555","chr3L",14191169,"-"
"5556","chr3L",14214030,"+"
"5557","chr3L",14231352,"-"
"5558","chr3L",14243098,"+"
"5559","chr3L",14249634,"+"
"5560","chr3L",14255557,"-"
"5561","chr3L",14264107,"+"
"5562","chr3L",14270998,"+"
"5563","chr3L",14272870,"+"
"5564","chr3L",14274477,"-"
"5565","chr3L",14279793,"-"
"5566","chr3L",14302165,"-"
"5567","chr3L",14304182,"-"
"5568","chr3L",14312097,"-"
"5569","chr3L",14322844,"-"
"5570","chr3L",14323758,"+"
"5571","chr3L",14324918,"-"
"5572","chr3L",14334476,"+"
"5573","chr3L",14340373,"+"
"5574","chr3L",14342037,"+"
"5575","chr3L",14344634,"-"
"5576","chr3L",14349179,"-"
"5577","chr3L",14353113,"-"
"5578","chr3L",14356984,"-"
"5579","chr3L",14358665,"-"
"5580","chr3L",14361964,"-"
"5581","chr3L",14381073,"-"
"5582","chr3L",14393689,"+"
"5583","chr3L",14393754,"+"
"5584","chr3L",14406519,"-"
"5585","chr3L",14415835,"+"
"5586","chr3L",14418030,"-"
"5587","chr3L",14425306,"-"
"5588","chr3L",14431095,"+"
"5589","chr3L",14444879,"+"
"5590","chr3L",14459384,"-"
"5591","chr3L",14459473,"-"
"5592","chr3L",14461821,"+"
"5593","chr3L",14462134,"-"
"5594","chr3L",14468034,"+"
"5595","chr3L",14471004,"+"
"5596","chr3L",14478225,"+"
"5597","chr3L",14479914,"+"
"5598","chr3L",14486904,"+"
"5599","chr3L",14491184,"-"
"5600","chr3L",14491823,"+"
"5601","chr3L",14509130,"-"
"5602","chr3L",14530070,"+"
"5603","chr3L",14533022,"+"
"5604","chr3L",14544808,"-"
"5605","chr3L",14615662,"-"
"5606","chr3L",14621741,"-"
"5607","chr3L",14626055,"+"
"5608","chr3L",14635101,"+"
"5609","chr3L",14666733,"+"
"5610","chr3L",14677015,"+"
"5611","chr3L",14683113,"-"
"5612","chr3L",14695372,"+"
"5613","chr3L",14706732,"-"
"5614","chr3L",14714187,"+"
"5615","chr3L",14718516,"+"
"5616","chr3L",14722951,"-"
"5617","chr3L",14729183,"+"
"5618","chr3L",14731216,"+"
"5619","chr3L",14735079,"-"
"5620","chr3L",14747704,"-"
"5621","chr3L",14783991,"+"
"5622","chr3L",14788235,"+"
"5623","chr3L",14788535,"+"
"5624","chr3L",14801401,"+"
"5625","chr3L",14810296,"+"
"5626","chr3L",14817317,"-"
"5627","chr3L",14818607,"+"
"5628","chr3L",14818757,"-"
"5629","chr3L",14820658,"+"
"5630","chr3L",14826825,"+"
"5631","chr3L",14840028,"+"
"5632","chr3L",14883521,"+"
"5633","chr3L",14894392,"+"
"5634","chr3L",14901816,"+"
"5635","chr3L",14930970,"+"
"5636","chr3L",14960353,"+"
"5637","chr3L",14961606,"-"
"5638","chr3L",14967807,"+"
"5639","chr3L",14968252,"+"
"5640","chr3L",14973458,"-"
"5641","chr3L",14978628,"-"
"5642","chr3L",14979705,"-"
"5643","chr3L",14994784,"-"
"5644","chr3L",15009687,"-"
"5645","chr3L",15009695,"-"
"5646","chr3L",15025214,"+"
"5647","chr3L",15054276,"+"
"5648","chr3L",15058077,"-"
"5649","chr3L",15060883,"+"
"5650","chr3L",15066104,"+"
"5651","chr3L",15077524,"+"
"5652","chr3L",15120180,"+"
"5653","chr3L",15120395,"+"
"5654","chr3L",15132937,"-"
"5655","chr3L",15133078,"-"
"5656","chr3L",15145217,"+"
"5657","chr3L",15158183,"-"
"5658","chr3L",15200643,"+"
"5659","chr3L",15254420,"-"
"5660","chr3L",15273856,"+"
"5661","chr3L",15277725,"-"
"5662","chr3L",15288364,"+"
"5663","chr3L",15293792,"-"
"5664","chr3L",15293833,"-"
"5665","chr3L",15323260,"+"
"5666","chr3L",15324768,"+"
"5667","chr3L",15349423,"+"
"5668","chr3L",15367131,"-"
"5669","chr3L",15371755,"-"
"5670","chr3L",15373278,"+"
"5671","chr3L",15374256,"-"
"5672","chr3L",15394448,"+"
"5673","chr3L",15401597,"-"
"5674","chr3L",15405028,"+"
"5675","chr3L",15408816,"+"
"5676","chr3L",15420048,"+"
"5677","chr3L",15430875,"-"
"5678","chr3L",15434394,"-"
"5679","chr3L",15434697,"-"
"5680","chr3L",15446053,"+"
"5681","chr3L",15448300,"-"
"5682","chr3L",15454234,"+"
"5683","chr3L",15459046,"+"
"5684","chr3L",15490130,"+"
"5685","chr3L",15500351,"+"
"5686","chr3L",15505062,"-"
"5687","chr3L",15531577,"+"
"5688","chr3L",15531641,"+"
"5689","chr3L",15551298,"-"
"5690","chr3L",15587345,"-"
"5691","chr3L",15595176,"+"
"5692","chr3L",15596871,"-"
"5693","chr3L",15603412,"+"
"5694","chr3L",15614996,"-"
"5695","chr3L",15617940,"+"
"5696","chr3L",15621105,"+"
"5697","chr3L",15632491,"-"
"5698","chr3L",15640302,"+"
"5699","chr3L",15644300,"+"
"5700","chr3L",15661039,"-"
"5701","chr3L",15665680,"+"
"5702","chr3L",15710730,"+"
"5703","chr3L",15720287,"+"
"5704","chr3L",15738459,"-"
"5705","chr3L",15752385,"+"
"5706","chr3L",15764476,"+"
"5707","chr3L",15773145,"-"
"5708","chr3L",15776332,"+"
"5709","chr3L",15778289,"+"
"5710","chr3L",15790374,"-"
"5711","chr3L",15797629,"-"
"5712","chr3L",15804482,"+"
"5713","chr3L",15806532,"+"
"5714","chr3L",15813229,"+"
"5715","chr3L",15813476,"-"
"5716","chr3L",15844986,"-"
"5717","chr3L",15863141,"+"
"5718","chr3L",15876832,"-"
"5719","chr3L",15887607,"-"
"5720","chr3L",15901348,"+"
"5721","chr3L",15909679,"-"
"5722","chr3L",15946203,"+"
"5723","chr3L",15953203,"+"
"5724","chr3L",15972436,"+"
"5725","chr3L",16011627,"+"
"5726","chr3L",16045645,"-"
"5727","chr3L",16066382,"-"
"5728","chr3L",16097485,"-"
"5729","chr3L",16103863,"-"
"5730","chr3L",16107614,"+"
"5731","chr3L",16109630,"-"
"5732","chr3L",16128764,"+"
"5733","chr3L",16147098,"+"
"5734","chr3L",16175341,"-"
"5735","chr3L",16178703,"-"
"5736","chr3L",16203326,"-"
"5737","chr3L",16212773,"+"
"5738","chr3L",16215235,"-"
"5739","chr3L",16220747,"-"
"5740","chr3L",16224179,"-"
"5741","chr3L",16235568,"-"
"5742","chr3L",16243542,"+"
"5743","chr3L",16254842,"+"
"5744","chr3L",16255059,"+"
"5745","chr3L",16257720,"+"
"5746","chr3L",16283959,"+"
"5747","chr3L",16290558,"+"
"5748","chr3L",16291242,"+"
"5749","chr3L",16375246,"+"
"5750","chr3L",16375836,"-"
"5751","chr3L",16376250,"-"
"5752","chr3L",16395062,"+"
"5753","chr3L",16409067,"+"
"5754","chr3L",16450910,"-"
"5755","chr3L",16465068,"-"
"5756","chr3L",16465511,"+"
"5757","chr3L",16470453,"-"
"5758","chr3L",16472144,"+"
"5759","chr3L",16474583,"+"
"5760","chr3L",16481938,"-"
"5761","chr3L",16489739,"-"
"5762","chr3L",16498646,"-"
"5763","chr3L",16502632,"+"
"5764","chr3L",16506367,"+"
"5765","chr3L",16517351,"-"
"5766","chr3L",16527914,"+"
"5767","chr3L",16530711,"+"
"5768","chr3L",16549522,"+"
"5769","chr3L",16558415,"-"
"5770","chr3L",16580759,"+"
"5771","chr3L",16624652,"-"
"5772","chr3L",16646393,"-"
"5773","chr3L",16682285,"-"
"5774","chr3L",16688946,"+"
"5775","chr3L",16696577,"+"
"5776","chr3L",16700278,"+"
"5777","chr3L",16716965,"+"
"5778","chr3L",16725436,"+"
"5779","chr3L",16733780,"-"
"5780","chr3L",16739425,"+"
"5781","chr3L",16743316,"+"
"5782","chr3L",16763806,"-"
"5783","chr3L",16772730,"+"
"5784","chr3L",16786477,"-"
"5785","chr3L",16799743,"-"
"5786","chr3L",16813632,"+"
"5787","chr3L",16849719,"+"
