chr,coordinate,strand,IPD_ratio,frac,fracLow,fracUp
Chr3,6970251,+,6.66,1,1,1
Chr3,6971637,-,2.66,1,0.866,1
Chr3,6975392,-,3.91,1,0.78,1
Chr3,6984605,+,4.56,1,0.95,1
Chr3,6990484,+,3.19,0.984,0.768,1
Chr3,6990947,-,1.7,0.725,0.627,0.816
Chr3,7004945,+,3.89,0.955,0.711,1
Chr3,7017544,-,3.54,1,0.708,1
Chr3,7029567,-,21.35,0.986,0.95,1
Chr3,7041293,-,2.67,1,0.765,1
Chr3,7049339,-,6.14,0.986,0.974,1
Chr3,7062479,-,3.4,0.927,0.703,1
Chr3,7075972,+,2.12,1,1,1
Chr3,7091601,+,2.78,1,0.75,1
Chr3,7091714,+,2.07,0.707,0.569,0.846
Chr3,7096709,+,1.71,0.789,0.568,0.852
Chr3,7104218,+,2.87,0.987,0.98,0.998
Chr3,7126673,+,3.83,1,0.914,1
Chr3,7131526,+,4.38,1,1,1
Chr3,7142830,+,2.01,1,1,1
Chr3,7152227,+,3.91,0.94,0.713,1
Chr3,7159083,+,5.44,0.984,0.744,1
Chr3,7159425,+,3.35,0.981,0.959,0.992
Chr3,7209327,-,4.06,1,0.799,1
Chr3,7221974,-,3.33,1,0.747,1
Chr3,7221996,-,3.03,1,0.754,1
Chr3,7222031,+,2.62,0.955,0.748,1
Chr3,7223088,-,4.05,0.985,0.784,1
Chr3,7227591,-,2.52,1,0.883,1
Chr3,7228956,+,2.51,1,0.725,1
Chr3,7234399,+,1.61,0.374,0.287,0.505
Chr3,7236041,+,3.4,0.988,0.841,0.998
Chr3,7242838,-,2.75,0.984,0.711,1
Chr3,7244870,+,4.64,0.986,0.735,1
Chr3,7245908,+,2.2,0.577,0.442,0.694
Chr3,7248006,+,2.18,0.62,0.489,0.74
Chr3,7254325,+,4.7,0.995,0.754,1
Chr3,7271788,+,4.88,0.999,0.863,1
Chr3,7279148,-,1.91,0.594,0.504,0.67
Chr3,7291902,-,4.82,0.948,0.746,1
Chr3,7298278,+,3.95,1,0.904,1
Chr3,7300520,+,2.25,0.455,0.337,0.563
Chr3,7304528,-,1.7,0.687,0.547,0.813
Chr3,7308154,+,3.53,0.992,0.823,1
Chr3,7314368,-,1.62,0.471,0.346,0.573
Chr3,7329686,+,2.06,0.551,0.425,0.693
Chr3,7398020,-,2.6,1,0.741,1
Chr3,7413206,+,1.93,0.539,0.424,0.681
Chr3,7414274,-,3.04,1,0.902,1
Chr3,7421172,+,3.24,0.983,0.856,0.999
Chr3,7425758,+,3.84,0.999,0.813,1
Chr3,7463237,+,1.54,0.905,0.74,0.92
Chr3,7471184,-,2.12,1,0.969,1
Chr3,7484892,+,3.49,1,0.856,1
Chr3,7486542,+,1.68,0.701,0.579,0.808
Chr3,7486570,+,6.42,1,0.948,1
Chr3,7489382,+,3.39,1,0.721,1
Chr3,7502454,-,4.76,1,1,1
Chr3,7525109,+,2.66,1,0.756,1
Chr3,7533571,+,2.36,1,0.946,1
Chr3,7535022,+,2.44,1,0.919,1
Chr3,7549390,+,5.01,0.986,0.769,1
Chr3,7564107,+,2.4,0.937,0.853,0.986
Chr3,7573175,-,3.16,1,1,1
Chr3,7580427,+,3.73,0.975,0.704,1
Chr3,7581575,-,1.74,1,0.725,1
Chr3,7587749,-,2.73,0.997,0.991,1
Chr3,7600560,+,1.68,0.686,0.55,0.782
Chr3,7602806,+,4.65,1,0.837,1
Chr3,7611980,-,3.44,1,0.742,1
Chr3,7617022,-,5.46,1,0.912,1
Chr3,7622178,+,4.03,1,0.789,1
Chr3,7628623,-,6.57,0.883,0.706,1
Chr3,7652076,-,4.12,1,0.835,1
Chr3,7662440,-,4.2,0.999,0.997,1
Chr3,7689975,+,2.3,0.999,0.884,1
Chr3,7706792,-,1.84,0.798,0.729,0.869
Chr3,7714279,+,4.35,1,0.874,1
Chr3,7717889,-,3.63,0.985,0.705,1
Chr3,7720099,+,3.29,0.963,0.954,0.976
Chr3,7738881,-,3.22,0.935,0.718,1
Chr3,7739233,-,5.31,1,1,1
Chr3,7745398,+,2.57,1,0.782,1
Chr3,7763434,+,2.99,1,0.858,1
Chr3,7763642,+,2.88,1,0.767,1
Chr3,7773372,+,3.18,1,1,1
Chr3,7800396,-,3.9,0.949,0.712,1
Chr3,7800977,-,1.71,0.791,0.755,0.833
Chr3,7804075,-,3.98,1,0.778,1
Chr3,7804222,+,8.42,0.985,0.708,1
Chr3,7804750,-,6.73,1,1,1
Chr3,7804813,-,5.1,1,1,1
Chr3,7805068,-,5.13,1,0.844,1
Chr3,7805818,-,3.73,1,0.845,1
Chr3,7823876,+,2.31,1,0.759,1
Chr3,7825137,+,2.67,1,0.867,1
Chr3,7827929,+,5.87,1,0.849,1
Chr3,7829044,+,4.26,0.94,0.72,1
Chr3,7841236,-,2.7,1,0.76,1
Chr3,7843993,+,3.94,1,0.875,1
Chr3,7860414,+,3.82,0.968,0.714,1
Chr3,7866712,-,3.15,1,0.816,1
Chr3,7868012,-,1.98,0.72,0.629,0.8
Chr3,7868536,-,3.1,1,0.749,1
Chr3,7872038,-,3.24,1,1,1
Chr3,7876249,-,4.61,0.959,0.706,0.998
Chr3,7877144,+,3.53,1,0.843,1
Chr3,7877264,+,2.7,1,0.915,1
Chr3,7877466,-,4.7,1,0.827,1
Chr3,7894511,+,4.86,0.955,0.741,1
Chr3,7905755,+,3.31,1,0.74,1
Chr3,7906287,+,14.88,0.993,0.851,1
Chr3,7918001,-,4.45,0.999,0.768,1
Chr3,7918703,-,4.31,0.995,0.794,1
Chr3,7921862,-,4.29,0.966,0.745,1
Chr3,7923692,-,2.34,1,1,1
Chr3,7935455,-,6.06,0.992,0.979,1
Chr3,7943024,+,3.82,1,0.835,1
Chr3,7951393,-,2.47,0.999,0.994,1
Chr3,7954292,+,4.52,0.941,0.775,1
Chr3,7965953,+,2.72,1,0.888,1
Chr3,7973778,-,1.63,0.217,0.064,0.347
Chr3,7976032,-,5.14,0.996,0.983,1
Chr3,7979010,+,3.71,0.893,0.77,1
Chr3,7981915,+,3.07,0.942,0.701,1
Chr3,7999342,+,3.17,1,1,1
Chr3,8022161,-,1.63,0.545,0.356,0.614
Chr3,8027326,-,3.53,0.941,0.714,1
Chr3,8027330,-,4.76,0.995,0.943,1
Chr3,8050235,-,4.11,0.995,0.804,0.999
Chr3,8051567,+,5.37,0.993,0.983,1
Chr3,8056686,-,2.81,0.946,0.705,1
Chr3,8057014,-,7.33,1,1,1
Chr3,8067491,-,3.98,0.976,0.725,1
Chr3,8068242,+,2.7,1,0.829,1
Chr3,8069955,-,2.17,1,0.964,1
Chr3,8113043,+,2.77,1,0.777,1
Chr3,8119558,-,3.09,1,0.778,1
Chr3,8120172,-,2.18,0.993,0.844,1
Chr3,8132643,-,6.61,0.998,0.763,1
Chr3,8132905,-,6.77,1,0.81,1
Chr3,8141483,+,3.2,0.994,0.958,1
Chr3,8159334,+,2.54,1,0.729,1
Chr3,8161061,+,4.48,1,0.946,1
Chr3,8161131,-,5.23,1,1,1
Chr3,8162370,+,1.57,0.512,0.396,0.648
Chr3,8189097,+,4.31,1,0.894,1
Chr3,8204996,+,3.16,1,0.736,1
Chr3,8209933,+,1.65,0.548,0.416,0.683
Chr3,8210519,-,3.48,0.986,0.773,1
Chr3,8210916,+,4.43,0.924,0.701,1
Chr3,8210921,-,6.5,1,0.911,1
Chr3,8211000,+,2.46,0.983,0.961,1
Chr3,8240830,-,4.08,1,0.972,1
Chr3,8242001,+,3.35,0.984,0.72,1
Chr3,8256319,-,6.22,1,1,1
Chr3,8260301,-,4.94,1,0.855,1
Chr3,8272164,-,1.84,0.292,0.151,0.439
Chr3,8272233,+,2.46,0.947,0.702,1
Chr3,8272800,-,1.64,0.338,0.239,0.462
Chr3,8313442,-,3.23,1,0.789,1
Chr3,8316917,-,1.74,0.859,0.606,0.891
Chr3,8323704,-,3.84,0.943,0.733,0.996
Chr3,8329482,+,3.64,1,0.879,1
Chr3,8342391,-,1.75,0.834,0.778,0.88
Chr3,8351839,-,7.55,1,0.858,1
Chr3,8357826,+,4.07,0.942,0.709,1
Chr3,8359900,+,3,0.932,0.751,1
Chr3,8378570,-,3.79,0.998,0.836,1
Chr3,8391448,+,4.55,1,0.915,1
Chr3,8397488,-,1.65,0.706,0.642,0.782
Chr3,8407730,+,5.74,0.99,0.833,1
Chr3,8409067,+,4.3,0.984,0.764,1
Chr3,8409076,-,4.85,1,0.881,1
Chr3,8423253,-,3.69,1,0.803,1
Chr3,8423405,+,2.52,0.985,0.789,1
Chr3,8428375,-,1.87,0.648,0.506,0.759
Chr3,8436930,+,3.09,1,1,1
Chr3,8438173,+,3.23,1,0.88,1
Chr3,8462058,+,3.07,1,1,1
Chr3,8464534,+,3.7,1,0.836,1
Chr3,8470202,+,2.7,1,1,1
Chr3,8470712,+,4.99,0.948,0.711,1
Chr3,8472126,+,2.6,1,0.761,1
Chr3,8472151,+,6.65,0.939,0.756,1
Chr3,8473624,+,1.86,0.331,0.179,0.459
Chr3,8475439,+,3.25,0.999,0.891,1
Chr3,8480499,+,3.42,0.993,0.992,1
Chr3,8482269,+,2.87,0.941,0.732,1
Chr3,8484408,+,6.69,1,0.978,1
Chr3,8484483,+,4.41,0.898,0.812,1
Chr3,8507731,+,2.61,0.885,0.735,1
Chr3,8537910,-,1.69,0.212,0.078,0.349
Chr3,8538906,+,2.07,0.373,0.264,0.463
Chr3,8540476,+,3.33,0.934,0.759,0.972
Chr3,8559141,-,2.56,0.995,0.935,1
Chr3,8565765,+,4.12,0.931,0.718,1
Chr3,8598000,+,6.11,0.975,0.734,1
Chr3,8600887,+,3.73,1,1,1
Chr3,8605981,-,5.9,0.967,0.728,1
Chr3,8614057,+,3.67,1,0.839,1
Chr3,8623647,+,9.97,1,0.912,1
Chr3,8633477,-,5.03,1,0.76,1
Chr3,8645318,+,3.77,1,0.952,1
Chr3,8645319,-,2.79,1,0.791,1
Chr3,8651062,-,4.06,0.998,0.981,1
Chr3,8652035,-,6.26,1,0.934,1
Chr3,8652114,+,3.54,1,0.795,1
Chr3,8653220,-,6.84,0.986,0.76,1
Chr3,8675241,+,4.64,0.982,0.75,1
Chr3,8679415,-,3.66,0.933,0.743,1
Chr3,8684568,-,3.3,1,0.75,1
Chr3,8699332,+,5.73,1,0.974,1
Chr3,8707471,+,3.55,0.994,0.706,0.998
Chr3,8719226,+,3.95,1,1,1
Chr3,8731824,+,2.85,1,0.795,1
Chr3,8748086,-,2.64,1,0.812,1
Chr3,8749171,-,2.9,0.988,0.985,0.994
Chr3,8773406,+,3.69,0.981,0.766,1
Chr3,8803557,-,2.78,1,0.836,1
Chr3,8810053,+,4.08,1,0.842,1
Chr3,8821173,-,4.42,1,0.716,1
Chr3,8825555,-,3.16,1,0.937,1
Chr3,8861292,+,3.75,0.985,0.762,1
Chr3,8868938,+,4.75,1,0.868,1
Chr3,8869002,-,3.68,0.985,0.762,1
Chr3,8874874,-,5.04,1,0.793,1
Chr3,8879696,+,3.04,0.991,0.74,0.999
Chr3,8894793,-,2.43,0.984,0.757,1
Chr3,8895312,-,3.66,1,0.932,1
Chr3,8903341,-,2.8,0.996,0.787,1
Chr3,8912801,+,4.27,1,1,1
Chr3,8913109,+,3.41,0.98,0.803,1
Chr3,8914401,-,2.61,1,0.898,1
Chr3,8915189,-,5.49,1,0.873,1
Chr3,8925978,-,1.79,0.864,0.776,0.902
Chr3,8931209,-,2.83,1,0.956,1
Chr3,8946417,+,4.01,1,0.786,1
Chr3,8950761,+,4.21,1,0.937,1
Chr3,8960943,-,1.67,0.659,0.538,0.777
Chr3,8971947,-,5.17,0.994,0.812,1
Chr3,8976714,+,4.26,0.925,0.754,0.993
Chr3,8984549,-,5.3,1,0.823,1
Chr3,8992721,+,1.7,0.729,0.491,0.788
Chr3,8996310,-,2.8,1,0.72,1
Chr3,9003888,-,2.69,0.999,0.99,1
Chr3,9004589,-,2.69,0.999,0.999,1
Chr3,9030552,+,7.36,1,0.849,1
Chr3,9055612,-,4.11,1,0.792,1
Chr3,9076371,+,2.87,1,0.833,1
Chr3,9080746,+,5.07,1,0.821,1
Chr3,9085637,-,3.21,0.659,0.511,0.797
Chr3,9091974,+,3.65,0.995,0.809,1
Chr3,9142696,+,6,0.999,0.856,1
Chr3,9159860,+,5.15,1,1,1
Chr3,9166974,-,3.85,1,0.936,1
Chr3,9184997,-,2.94,0.994,0.754,1
Chr3,9197710,-,8.02,1,1,1
Chr3,9203454,+,2.38,1,1,1
Chr3,9220329,-,4.41,0.993,0.897,1
Chr3,9222660,-,2.81,0.997,0.925,1
Chr3,9223060,-,4.09,0.996,0.703,1
Chr3,9223221,-,2.91,1,1,1
Chr3,9275614,-,3.11,0.996,0.996,0.998
Chr3,9286453,-,3.46,1,0.865,1
Chr3,9300595,+,1.62,1,0.705,1
Chr3,9310763,-,3.78,1,0.864,1
Chr3,9335429,+,5.12,1,0.843,1
Chr3,9337052,-,3.75,0.984,0.737,1
Chr3,9355507,+,3.31,0.998,0.836,0.999
Chr3,9356236,+,5.12,1,0.832,1
Chr3,9361855,-,3.83,1,0.804,1
Chr3,9367104,+,4.06,0.939,0.708,1
Chr3,9367625,-,3.22,0.965,0.715,1
Chr3,9379318,-,3.12,0.969,0.728,1
Chr3,9379416,+,2.65,0.992,0.94,1
Chr3,9380526,-,3.54,0.97,0.758,1
Chr3,9381090,-,7.49,1,0.982,1
Chr3,9384528,-,3.55,1,0.809,1
Chr3,9388245,-,2.21,0.706,0.592,0.815
Chr3,9392418,+,2.68,0.943,0.735,1
Chr3,9395443,+,2.67,1,0.845,1
Chr3,9404446,-,2.11,0.448,0.305,0.582
Chr3,9404478,-,1.91,0.513,0.31,0.605
Chr3,9453170,-,3.67,1,0.857,1
Chr3,9458752,-,3.22,1,0.986,1
Chr3,9459352,-,5.03,1,0.751,1
Chr3,9474774,-,1.8,0.333,0.168,0.467
Chr3,9490281,+,5.1,0.984,0.755,1
Chr3,9499063,-,1.97,0.986,0.728,1
Chr3,9507806,+,5.78,0.97,0.808,1
Chr3,9518829,-,2.89,0.994,0.729,1
Chr3,9526405,+,4.96,1,0.756,1
Chr3,9538728,-,2.41,1,0.877,1
Chr3,9541411,-,3.81,0.996,0.721,0.999
Chr3,9600197,-,2.96,1,0.789,1
Chr3,9619738,-,3.81,1,0.89,1
Chr3,9640254,+,2.75,0.686,0.538,0.807
Chr3,9664420,-,4.32,1,1,1
Chr3,9665281,-,2.9,1,0.736,1
Chr3,9672456,-,3.44,0.955,0.718,1
Chr3,9682143,+,2.11,0.984,0.754,1
Chr3,9693464,+,3.17,1,0.995,1
Chr3,9695565,-,5.9,1,0.969,1
Chr3,9695727,-,5.18,1,0.958,1
Chr3,9696167,-,3.28,0.999,0.794,1
Chr3,9697297,-,4.2,0.914,0.726,1
Chr3,9697709,+,3.92,1,1,1
Chr3,9697813,-,5.2,1,1,1
Chr3,9698128,-,5.31,0.925,0.706,1
Chr3,9706237,-,2.05,0.71,0.526,0.819
Chr3,9750770,-,1.85,0.496,0.36,0.638
Chr3,9750900,+,5.19,1,0.882,1
Chr3,9767160,-,3.78,0.979,0.783,1
Chr3,9767851,-,2.05,0.885,0.725,1
Chr3,9768946,-,1.49,0.705,0.67,0.76
Chr3,9769418,+,3.27,1,0.894,1
Chr3,9773248,-,3.84,1,0.871,1
Chr3,9783967,+,5.07,1,0.875,1
Chr3,9784131,+,3.83,0.894,0.708,1
Chr3,9784139,+,3.28,0.984,0.731,1
Chr3,9784806,+,10.8,1,1,1
Chr3,9787160,+,4.65,1,0.981,1
Chr3,9787313,+,2.76,0.992,0.702,1
Chr3,9831421,-,3.12,1,1,1
Chr3,9832127,+,2.78,1,1,1
Chr3,9838968,+,3.62,0.985,0.839,0.993
Chr3,9847382,-,2.86,1,0.985,1
Chr3,9860382,+,2.89,1,1,1
Chr3,9861602,-,2.95,1,1,1
Chr3,9869891,+,1.65,0.157,0.003,0.297
Chr3,9873414,-,2.69,1,0.739,1
Chr3,9874734,-,2.02,0.984,0.919,1
Chr3,9877448,+,2.81,1,0.774,1
Chr3,9894136,+,4.82,0.999,0.999,1
Chr3,9898624,+,2.93,1,1,1
Chr3,9899632,-,6.58,1,1,1
Chr3,9902585,+,3.23,1,0.827,1
Chr3,9903624,-,3.77,1,0.838,1
Chr3,9906556,-,1.85,0.543,0.424,0.651
Chr3,9922025,-,3.36,0.984,0.771,1
Chr3,9927149,+,2.83,1,0.985,1
Chr3,9931147,+,2.6,0.997,0.776,1
Chr3,9949627,-,4.31,1,0.756,1
Chr3,9953602,+,3.27,0.962,0.725,1
Chr3,9954490,+,3.32,0.99,0.846,0.996
Chr3,9965656,-,5.99,0.988,0.775,1
Chr3,9977567,-,4.64,1,0.736,1
Chr3,10005025,+,4.77,0.987,0.974,1
Chr3,10005110,+,3.45,1,0.813,1
Chr3,10018103,-,3.86,0.998,0.764,1
Chr3,10021337,+,3.27,0.978,0.712,1
Chr3,10021475,-,2.46,0.99,0.804,1
Chr3,10032295,+,5.24,1,0.997,1
Chr3,10049265,-,1.89,0.606,0.455,0.723
Chr3,10055264,-,4.65,1,0.917,1
Chr3,10056184,+,5.41,0.997,0.903,1
Chr3,10057229,-,5.43,1,0.941,1
Chr3,10057736,+,4.04,1,0.826,1
Chr3,10063839,-,3.1,1,0.816,1
Chr3,10069642,+,4.19,1,1,1
Chr3,10069738,+,4.66,1,1,1
Chr3,10075334,-,2.76,0.94,0.72,0.986
Chr3,10080562,+,2.82,0.999,0.999,1
Chr3,10092121,-,3.36,1,0.817,1
Chr3,10092157,-,3.61,1,0.81,1
Chr3,10100404,-,2.5,0.952,0.704,1
Chr3,10105857,+,3.97,1,0.823,1
Chr3,10107224,-,4.08,0.945,0.746,1
Chr3,10107779,+,3.4,1,0.984,1
Chr3,10109434,+,3.02,0.982,0.839,1
Chr3,10110640,+,3.43,1,0.835,1
Chr3,10139485,+,2.58,0.727,0.619,0.873
Chr3,10153588,+,2.29,1,1,1
Chr3,10153863,+,4.18,1,0.943,1
Chr3,10156849,+,4.45,0.998,0.998,0.999
Chr3,10159186,-,6.4,1,1,1
Chr3,10161461,+,2.5,1,0.759,1
Chr3,10164496,-,2.25,1,0.978,1
Chr3,10177265,-,3.54,1,0.713,1
Chr3,10188214,+,2.23,1,1,1
Chr3,10191278,-,7.35,1,0.99,1
Chr3,10208655,-,12.73,1,1,1
Chr3,10208688,-,4.62,1,0.854,1
Chr3,10237377,-,2.33,1,0.832,1
Chr3,10241615,-,3.9,1,0.884,1
Chr3,10244931,-,3,0.945,0.731,1
Chr3,10250409,-,2.99,1,0.868,1
Chr3,10263140,+,1.98,0.716,0.459,0.748
Chr3,10266914,+,2.14,0.982,0.72,1
Chr3,10273007,-,2.75,1,1,1
Chr3,10274227,+,15.05,0.997,0.995,1
Chr3,10274324,+,3.03,1,0.985,1
Chr3,10307441,-,2.19,0.953,0.709,0.985
Chr3,10320877,+,3.67,1,0.806,1
Chr3,10334445,-,3.24,0.936,0.728,1
Chr3,10349319,+,2.28,0.679,0.575,0.807
Chr3,10369336,+,2.83,0.978,0.764,1
Chr3,10381745,-,4.36,1,0.927,1
Chr3,10381911,-,2.31,1,0.844,1
Chr3,10395463,+,4.43,0.994,0.908,0.998
Chr3,10396835,+,3.27,0.993,0.823,1
Chr3,10397786,-,6.92,1,1,1
Chr3,10404293,-,8.01,1,1,1
Chr3,10404303,-,4.44,0.986,0.93,1
Chr3,10407171,+,5.56,1,0.895,1
Chr3,10408667,+,3.21,0.95,0.741,1
Chr3,10416935,-,3.63,1,0.999,1
Chr3,10428377,+,4.47,1,0.943,1
Chr3,10430577,+,1.65,0.562,0.453,0.679
Chr3,10430685,+,1.67,0,0,0
Chr3,10437535,-,2.63,0.959,0.721,1
Chr3,10449649,-,4.3,1,0.736,1
Chr3,10449660,-,6.04,0.998,0.997,1
Chr3,10449957,-,1.69,0.579,0.506,0.677
Chr3,10459264,+,3.22,1,0.829,1
Chr3,10461840,+,4.43,0.943,0.783,1
Chr3,10462275,+,1.64,0.611,0.498,0.697
Chr3,10508641,+,1.56,0.418,0.376,0.538
Chr3,10510074,+,4.12,0.983,0.73,1
Chr3,10514804,-,5.04,1,0.858,1
Chr3,10521929,-,4.05,1,0.831,1
Chr3,10530914,+,3.84,1,0.954,1
Chr3,10596159,-,3.21,1,0.86,1
Chr3,10638298,-,3.71,1,0.78,1
Chr3,10649971,-,2.71,1,0.777,1
Chr3,10658200,+,4.12,0.984,0.707,1
Chr3,10666763,+,2.12,0.287,0.169,0.423
Chr3,10676773,-,8.96,1,1,1
Chr3,10684064,+,5.59,0.983,0.975,1
Chr3,10684208,+,6.08,0.988,0.811,1
Chr3,10697538,+,3.88,1,0.711,1
Chr3,10725381,+,3.74,0.957,0.747,1
Chr3,10732608,+,3.63,1,0.768,1
Chr3,10734515,+,5.24,1,0.806,1
Chr3,10746550,-,1.89,0.802,0.737,0.857
Chr3,10748508,+,5.16,1,0.828,1
Chr3,10756668,-,2.66,0.982,0.732,1
Chr3,10757054,+,4.35,1,0.797,1
Chr3,10757122,-,2.9,1,0.812,1
Chr3,10758855,+,3.3,1,0.766,1
Chr3,10781881,+,5.82,0.996,0.945,1
Chr3,10781886,-,5.1,1,0.986,1
Chr3,10783754,+,3.72,1,0.736,1
Chr3,10788664,-,3.6,1,0.757,1
Chr3,10793993,+,3.16,1,1,1
Chr3,10794002,-,3.07,0.983,0.756,0.995
Chr3,10799451,+,4.18,1,0.763,1
Chr3,10803803,-,1.89,0.677,0.517,0.778
Chr3,10820155,-,4.27,1,0.901,1
Chr3,10828276,-,3.52,0.989,0.977,1
Chr3,10840474,-,3.52,1,0.797,1
Chr3,10843420,-,1.71,0.804,0.69,0.907
Chr3,10847728,+,4.6,1,0.731,1
Chr3,10848654,-,1.66,0.859,0.711,0.889
Chr3,10849307,+,1.92,0.598,0.418,0.693
Chr3,10850373,-,3.92,1,0.901,1
Chr3,10850530,-,3.79,0.985,0.761,1
Chr3,10854082,+,4.1,1,0.74,1
Chr3,10867838,-,2.26,1,1,1
Chr3,10870779,+,3.27,1,0.933,1
Chr3,10870865,+,5.48,0.984,0.911,1
Chr3,10873721,-,1.82,0.835,0.771,0.904
Chr3,10875316,+,6.38,0.983,0.931,1
Chr3,10884145,-,3.13,1,1,1
Chr3,10889386,+,5.12,1,0.823,1
Chr3,10942399,+,5.13,1,0.928,1
Chr3,10942605,+,6.1,1,0.963,1
Chr3,10946469,+,8.44,0.986,0.795,1
Chr3,10950763,+,3.77,0.982,0.701,1
Chr3,10978508,+,7.53,1,1,1
Chr3,10978513,-,8.59,1,1,1
Chr3,10979983,+,5.63,0.99,0.985,0.999
Chr3,10984474,+,1.96,0.647,0.542,0.746
Chr3,10985040,+,1.55,0.402,0.232,0.522
Chr3,10988393,-,4.83,1,0.967,1
Chr3,10995694,+,6.71,0.99,0.922,1
Chr3,10998981,-,2.86,0.993,0.871,1
Chr3,11000562,-,3.1,1,0.928,1
Chr3,11004508,-,5.57,1,1,1
Chr3,11010240,-,2.83,0.993,0.952,1
Chr3,11010623,-,4.89,1,0.818,1
Chr3,11016437,-,4.03,0.938,0.705,0.974
Chr3,11018197,-,2.56,1,1,1
Chr3,11018669,+,3.45,1,1,1
Chr3,11018780,-,5.56,1,0.845,1
Chr3,11019879,+,3.86,0.991,0.739,1
Chr3,11074763,-,2.44,1,0.727,1
Chr3,11096805,+,6.76,1,1,1
Chr3,11108186,+,5.81,0.995,0.989,1
Chr3,11135916,-,2.67,0.996,0.996,1
Chr3,11142324,+,2.45,0.978,0.739,1
Chr3,11142482,+,3.3,1,0.834,1
Chr3,11144140,+,1.91,0.788,0.655,0.907
Chr3,11144639,+,5.55,1,1,1
Chr3,11144726,-,2.99,0.984,0.732,1
Chr3,11147736,+,7.12,1,0.913,1
Chr3,11151523,-,2.78,1,0.958,1
Chr3,11151946,+,2.36,1,0.928,1
Chr3,11158331,-,4.01,1,0.795,1
Chr3,11160636,+,3.54,0.995,0.748,1
Chr3,11160896,-,6.7,0.997,0.853,1
Chr3,11165076,+,2.36,1,0.755,1
Chr3,11169162,-,3.86,1,0.776,1
Chr3,11170309,-,2.32,1,0.78,1
Chr3,11170473,-,4.49,1,0.933,1
Chr3,11171517,+,2.25,1,0.879,1
Chr3,11173907,-,4.36,1,1,1
Chr3,11178135,+,3.62,1,0.915,1
Chr3,11178143,+,4.57,0.95,0.745,1
Chr3,11179621,+,4.59,0.961,0.749,1
Chr3,11182927,+,4.31,0.963,0.756,1
Chr3,11184667,-,2.3,1,0.828,1
Chr3,11185319,-,1.56,0.834,0.797,0.87
Chr3,11187729,-,4.75,0.955,0.766,1
Chr3,11187733,-,3.49,0.906,0.723,1
Chr3,11212258,+,2.71,1,0.72,1
Chr3,11213057,+,3.62,1,1,1
Chr3,11221213,-,4.52,1,0.943,1
Chr3,11224230,+,2.96,0.979,0.965,1
Chr3,11224240,+,7.65,1,0.908,1
Chr3,11224521,-,3.95,1,0.88,1
Chr3,11224656,+,2.74,0.985,0.743,1
Chr3,11224761,-,1.88,0.881,0.849,0.905
Chr3,11225795,-,3.65,0.986,0.799,1
Chr3,11229516,-,3.97,0.995,0.994,0.997
Chr3,11231894,+,3.32,0.909,0.71,1
Chr3,11232098,+,3.34,1,0.891,1
Chr3,11235452,-,2.97,1,1,1
Chr3,11235991,+,3.02,0.968,0.727,1
Chr3,11236000,-,2.68,1,0.928,1
Chr3,11236565,-,3.95,1,0.776,1
Chr3,11240068,+,13.42,1,0.858,1
Chr3,11244685,+,3.3,0.998,0.995,1
Chr3,11245060,+,2.59,0.963,0.732,1
Chr3,11245077,+,4.55,0.975,0.706,1
Chr3,11247098,-,1.66,0.88,0.847,0.926
Chr3,11254563,+,2.6,1,0.878,1
Chr3,11257210,+,7.81,1,0.807,1
Chr3,11259796,+,2.53,1,0.721,1
Chr3,11260775,+,1.67,0.6,0.443,0.7
Chr3,11264782,-,1.77,0.687,0.599,0.769
Chr3,11268354,-,2.36,0.523,0.371,0.664
Chr3,11269797,+,2.17,0.964,0.743,1
Chr3,11290866,+,2.27,1,0.975,1
Chr3,11291313,+,3.32,0.974,0.738,1
Chr3,11294087,-,4.58,1,0.857,1
Chr3,11307137,-,6.42,1,1,1
Chr3,11348667,-,4.06,1,0.941,1
Chr3,11350017,+,3.32,1,1,1
Chr3,11354028,-,4.32,1,1,1
Chr3,11355864,+,4,1,0.845,1
Chr3,11356361,+,3.8,0.986,0.716,1
Chr3,11366240,-,4.31,1,1,1
Chr3,11375089,-,4.12,1,0.772,1
Chr3,11376929,-,3.12,1,1,1
Chr3,11403584,-,4.3,1,0.799,1
Chr3,11407449,-,3.28,1,0.801,1
Chr3,11407899,-,5.65,1,1,1
Chr3,11419762,+,3.82,1,0.757,1
Chr3,11420289,+,5.56,0.993,0.964,1
Chr3,11429278,+,3.73,1,0.792,1
Chr3,11430714,-,6.6,0.995,0.994,0.999
Chr3,11431404,-,2.51,0.975,0.72,1
Chr3,11456242,-,4.58,0.986,0.766,1
Chr3,11463371,-,4.06,0.984,0.809,1
Chr3,11477364,-,2.39,0.986,0.729,1
Chr3,11479192,-,5.62,1,0.82,1
Chr3,11481885,-,3.15,0.986,0.976,1
Chr3,11486234,-,3.94,1,0.987,1
Chr3,11490803,-,4.53,0.985,0.769,1
Chr3,11491009,-,3.4,1,0.798,1
Chr3,11491893,-,3.22,0.961,0.707,1
Chr3,11492018,-,5.59,0.987,0.805,1
Chr3,11492123,+,5.15,1,1,1
Chr3,11492142,-,2.45,0.746,0.661,0.866
Chr3,11493573,-,2.79,1,0.925,1
Chr3,11496739,-,2.73,0.933,0.726,1
Chr3,11503272,-,5.16,1,0.998,1
Chr3,11505785,+,2.14,1,0.872,1
